epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,468.9,1.5764,1.33231,1.3391,0.78265,0.78505,0.8267,0.46712,1.42592,1.07166,1.31705,0.0007294,0.0007294,0.0007294
43,479.884,1.59383,1.32496,1.3257,0.86831,0.73946,0.85493,0.48341,1.41041,1.06291,1.29426,0.0007228,0.0007228,0.0007228
44,491.012,1.53709,1.25906,1.25756,0.86525,0.78016,0.86371,0.50274,1.42373,1.04972,1.27632,0.0007162,0.0007162,0.0007162
45,502.034,1.63287,1.26957,1.34478,0.80601,0.77662,0.8598,0.49272,1.44208,1.00748,1.29616,0.0007096,0.0007096,0.0007096
46,513.065,1.5367,1.24644,1.27545,0.83683,0.64486,0.78988,0.442,1.50894,1.17834,1.3275,0.000703,0.000703,0.000703
47,524.173,1.54498,1.20691,1.28634,0.80595,0.78926,0.86065,0.50289,1.40704,0.99711,1.26836,0.0006964,0.0006964,0.0006964
48,535.256,1.63279,1.26476,1.34385,0.79412,0.63686,0.76002,0.41546,1.51949,1.28216,1.32763,0.0006898,0.0006898,0.0006898
49,546.236,1.505,1.22682,1.27777,0.78213,0.78285,0.84002,0.49055,1.41251,1.07018,1.2883,0.0006832,0.0006832,0.0006832
50,557.39,1.58311,1.22179,1.30824,0.85955,0.74357,0.86401,0.5111,1.36836,1.01053,1.25041,0.0006766,0.0006766,0.0006766
51,568.452,1.47109,1.15239,1.25184,0.89512,0.82423,0.91104,0.56365,1.29993,0.8676,1.215,0.00067,0.00067,0.00067
52,579.519,1.46466,1.13755,1.26933,0.89261,0.80997,0.90699,0.56446,1.30865,0.85762,1.22932,0.0006634,0.0006634,0.0006634
53,590.611,1.49012,1.14455,1.25802,0.86516,0.81952,0.90309,0.55033,1.34257,0.87896,1.24074,0.0006568,0.0006568,0.0006568
54,601.815,1.49307,1.13289,1.27482,0.88441,0.85981,0.9298,0.58845,1.26851,0.80652,1.20176,0.0006502,0.0006502,0.0006502
55,612.855,1.42166,1.06551,1.21618,0.84866,0.8567,0.91847,0.57726,1.2684,0.83304,1.19817,0.0006436,0.0006436,0.0006436
56,623.874,1.45485,1.08604,1.24608,0.86611,0.8785,0.93831,0.60168,1.23864,0.78286,1.16896,0.000637,0.000637,0.000637
57,634.769,1.47216,1.04743,1.24221,0.84808,0.88474,0.93172,0.6034,1.23466,0.78006,1.1706,0.0006304,0.0006304,0.0006304
58,646.031,1.44578,1.05485,1.23192,0.90951,0.90808,0.95666,0.62014,1.21618,0.74083,1.14774,0.0006238,0.0006238,0.0006238
59,657.159,1.44071,1.07059,1.21475,0.87367,0.87539,0.94114,0.60346,1.22867,0.78518,1.1566,0.0006172,0.0006172,0.0006172
60,668.077,1.43252,1.02928,1.22746,0.902,0.86019,0.93966,0.6172,1.22123,0.74834,1.1571,0.0006106,0.0006106,0.0006106
61,679.062,1.3996,1.02731,1.20429,0.85996,0.89911,0.93966,0.60848,1.22786,0.76288,1.16104,0.000604,0.000604,0.000604
62,690.072,1.39248,1.04456,1.21416,0.89762,0.87401,0.94539,0.6079,1.23776,0.7607,1.14835,0.0005974,0.0005974,0.0005974
63,701.055,1.34042,0.93439,1.15609,0.88707,0.89097,0.94858,0.62518,1.19088,0.73143,1.13293,0.0005908,0.0005908,0.0005908
64,711.975,1.3737,0.95304,1.20294,0.91262,0.87227,0.95247,0.6289,1.16668,0.71569,1.1266,0.0005842,0.0005842,0.0005842
65,723.052,1.37107,0.95679,1.17619,0.91311,0.89408,0.96365,0.6417,1.16062,0.68851,1.12222,0.0005776,0.0005776,0.0005776
66,734.192,1.39001,1.03025,1.22005,0.92428,0.92835,0.97051,0.65475,1.14331,0.67591,1.11304,0.000571,0.000571,0.000571
67,745.312,1.3296,1.01336,1.18623,0.93596,0.91068,0.96957,0.66915,1.10386,0.66037,1.0937,0.0005644,0.0005644,0.0005644
68,756.371,1.3716,0.9574,1.18528,0.90889,0.90122,0.95846,0.64308,1.16844,0.70343,1.12163,0.0005578,0.0005578,0.0005578
69,767.396,1.31875,0.95946,1.16278,0.8766,0.88522,0.93759,0.59375,1.28498,0.78905,1.181,0.0005512,0.0005512,0.0005512
70,778.425,1.31153,0.88897,1.18267,0.87898,0.82866,0.92522,0.59333,1.24813,0.78529,1.16102,0.0005446,0.0005446,0.0005446
71,789.469,1.31686,0.90489,1.17124,0.88076,0.94393,0.96883,0.65515,1.16749,0.66128,1.11348,0.000538,0.000538,0.000538
72,800.495,1.33141,0.88417,1.1363,0.91956,0.92593,0.97319,0.68194,1.0715,0.62191,1.06477,0.0005314,0.0005314,0.0005314
73,811.521,1.37796,0.9694,1.16826,0.93473,0.93689,0.97826,0.70149,1.02456,0.611,1.04587,0.0005248,0.0005248,0.0005248
74,822.591,1.25964,0.87416,1.11989,0.93409,0.93146,0.97521,0.70283,1.02745,0.60623,1.04591,0.0005182,0.0005182,0.0005182
75,833.669,1.31621,0.89158,1.13564,0.90177,0.919,0.95624,0.66838,1.09885,0.67172,1.07017,0.0005116,0.0005116,0.0005116
76,844.632,1.30964,0.91876,1.14396,0.92248,0.93458,0.97298,0.68046,1.06075,0.63864,1.05542,0.000505,0.000505,0.000505
77,855.613,1.28683,0.91502,1.12161,0.92593,0.94704,0.97802,0.69506,1.04606,0.61228,1.04349,0.0004984,0.0004984,0.0004984
78,866.659,1.25321,0.85911,1.12546,0.93815,0.94511,0.98007,0.69508,1.04061,0.60202,1.04058,0.0004918,0.0004918,0.0004918
79,877.691,1.2965,0.9075,1.14839,0.90515,0.89185,0.96723,0.67173,1.10004,0.65211,1.07434,0.0004852,0.0004852,0.0004852
80,888.752,1.23204,0.84782,1.11679,0.91712,0.95016,0.97689,0.70244,1.02195,0.60051,1.03679,0.0004786,0.0004786,0.0004786
81,899.71,1.24925,0.80245,1.12551,0.87238,0.91589,0.95596,0.65955,1.11911,0.66364,1.07926,0.000472,0.000472,0.000472
