epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,456.685,2.05908,2.6492,1.67499,0.34555,0.27415,0.23643,0.11947,1.93315,2.39642,1.63312,0.0007294,0.0007294,0.0007294
43,467.453,2.08028,2.69052,1.65697,0.32628,0.25669,0.23417,0.11766,1.94849,2.39619,1.63053,0.0007228,0.0007228,0.0007228
44,478.168,2.0182,2.5652,1.61969,0.37817,0.26893,0.24838,0.12084,1.94116,2.34471,1.59974,0.0007162,0.0007162,0.0007162
45,489.086,2.07713,2.62622,1.65181,0.35511,0.24543,0.24757,0.12684,1.94134,2.41159,1.61376,0.0007096,0.0007096,0.0007096
46,499.932,2.06489,2.5047,1.63733,0.36397,0.28982,0.25919,0.13401,1.96199,2.32584,1.61532,0.000703,0.000703,0.000703
47,510.705,2.01328,2.59343,1.63416,0.38325,0.29504,0.29578,0.15405,1.90929,2.27607,1.6227,0.0006964,0.0006964,0.0006964
48,521.604,2.01417,2.55046,1.64767,0.46245,0.25065,0.27875,0.14018,1.91608,2.26275,1.62656,0.0006898,0.0006898,0.0006898
49,532.362,2.05236,2.55667,1.65757,0.40084,0.2611,0.29371,0.15237,1.84814,2.1996,1.6033,0.0006832,0.0006832,0.0006832
50,543.109,2.09812,2.66262,1.68362,0.47883,0.27587,0.32773,0.17388,1.79886,2.18051,1.56212,0.0006766,0.0006766,0.0006766
51,553.943,2.0404,2.49939,1.64162,0.47816,0.32059,0.34329,0.1696,1.83497,2.14185,1.5396,0.00067,0.00067,0.00067
52,564.717,1.98985,2.4261,1.62147,0.4611,0.32637,0.31874,0.16089,1.86527,2.24115,1.55435,0.0006634,0.0006634,0.0006634
53,575.423,1.98293,2.38391,1.61352,0.44443,0.30703,0.30299,0.158,1.84842,2.27131,1.56086,0.0006568,0.0006568,0.0006568
54,586.228,1.96475,2.42407,1.59731,0.42554,0.33681,0.33079,0.17674,1.83695,2.1675,1.52977,0.0006502,0.0006502,0.0006502
55,597.29,1.93325,2.31497,1.58091,0.45552,0.34726,0.34574,0.17857,1.8484,2.15472,1.55068,0.0006436,0.0006436,0.0006436
56,608.062,1.96478,2.34351,1.57601,0.41576,0.34726,0.31385,0.16829,1.82438,2.19001,1.5367,0.000637,0.000637,0.000637
57,618.853,1.83842,2.32732,1.55417,0.38667,0.37076,0.33905,0.1956,1.73821,2.05431,1.52399,0.0006304,0.0006304,0.0006304
58,629.547,1.9594,2.50324,1.61008,0.5334,0.3342,0.39321,0.2157,1.7488,1.97687,1.49703,0.0006238,0.0006238,0.0006238
59,640.256,1.88484,2.294,1.58104,0.4925,0.3674,0.39546,0.21719,1.72466,1.95006,1.4887,0.0006172,0.0006172,0.0006172
60,650.913,1.92168,2.32998,1.56212,0.48764,0.35248,0.37503,0.20634,1.73556,2.01458,1.51791,0.0006106,0.0006106,0.0006106
61,661.699,1.85892,2.2316,1.50972,0.49553,0.3488,0.41149,0.22272,1.73171,1.90739,1.47682,0.000604,0.000604,0.000604
62,672.479,1.87528,2.30699,1.52319,0.48131,0.38642,0.42731,0.23511,1.69994,1.85613,1.46311,0.0005974,0.0005974,0.0005974
63,683.222,1.79463,2.17301,1.50852,0.40363,0.37859,0.3581,0.19502,1.758,2.04194,1.50203,0.0005908,0.0005908,0.0005908
64,693.975,1.88567,2.28338,1.56905,0.51179,0.37598,0.43031,0.25457,1.64396,1.82148,1.43589,0.0005842,0.0005842,0.0005842
65,704.657,1.79053,2.10373,1.48569,0.5499,0.37321,0.43007,0.24421,1.68715,1.86926,1.45491,0.0005776,0.0005776,0.0005776
66,715.421,1.88182,2.23823,1.54219,0.54829,0.36292,0.40677,0.22763,1.69824,1.93259,1.45798,0.000571,0.000571,0.000571
67,726.146,1.843,2.22291,1.5247,0.56926,0.40992,0.45415,0.25199,1.66487,1.80696,1.43647,0.0005644,0.0005644,0.0005644
68,736.899,1.85275,2.18975,1.53846,0.57957,0.41032,0.47391,0.26932,1.63491,1.76416,1.43295,0.0005578,0.0005578,0.0005578
69,747.576,1.80332,2.09943,1.49594,0.53071,0.41514,0.46156,0.26045,1.62334,1.78255,1.4329,0.0005512,0.0005512,0.0005512
70,758.284,1.80023,2.13353,1.51871,0.58377,0.42037,0.49449,0.28748,1.58133,1.67947,1.39505,0.0005446,0.0005446,0.0005446
71,769.01,1.87095,2.18572,1.55522,0.57116,0.39948,0.46877,0.27536,1.58327,1.75049,1.4018,0.000538,0.000538,0.000538
72,779.644,1.80196,2.03359,1.44969,0.59959,0.36815,0.45016,0.25777,1.59805,1.77114,1.39902,0.0005314,0.0005314,0.0005314
73,790.393,1.83002,2.13055,1.49008,0.61785,0.39948,0.4923,0.28437,1.57193,1.68603,1.37282,0.0005248,0.0005248,0.0005248
74,801.157,1.9069,2.16311,1.50653,0.55356,0.45324,0.50736,0.29717,1.56704,1.62614,1.37641,0.0005182,0.0005182,0.0005182
75,811.82,1.7685,2.01816,1.4286,0.55259,0.45692,0.50366,0.29422,1.59065,1.64882,1.37535,0.0005116,0.0005116,0.0005116
76,822.484,1.77242,1.96398,1.46414,0.59823,0.45485,0.53117,0.30481,1.60412,1.64823,1.38564,0.000505,0.000505,0.000505
77,833.218,1.80751,2.0787,1.46008,0.54946,0.43864,0.46602,0.25852,1.65491,1.80747,1.4485,0.0004984,0.0004984,0.0004984
78,843.985,1.77866,1.95953,1.47627,0.64907,0.45953,0.55172,0.31033,1.61061,1.65528,1.3986,0.0004918,0.0004918,0.0004918
79,854.619,1.72133,2.01022,1.45715,0.68469,0.45692,0.53967,0.30728,1.59716,1.63928,1.38222,0.0004852,0.0004852,0.0004852
80,865.36,1.76345,1.98052,1.4519,0.56951,0.38381,0.43904,0.23709,1.68055,1.85605,1.43387,0.0004786,0.0004786,0.0004786
81,876.057,1.71612,1.87044,1.43835,0.69502,0.48303,0.58666,0.34527,1.52894,1.49102,1.34728,0.000472,0.000472,0.000472
82,886.808,1.68718,1.80076,1.41398,0.66783,0.4752,0.57244,0.34027,1.52872,1.49177,1.34726,0.0004654,0.0004654,0.0004654
83,897.497,1.77117,1.96148,1.50051,0.64412,0.53003,0.60388,0.35707,1.51285,1.42512,1.32841,0.0004588,0.0004588,0.0004588
84,908.29,1.70623,1.87451,1.38857,0.63556,0.48825,0.57318,0.33059,1.56337,1.54032,1.35075,0.0004522,0.0004522,0.0004522
85,918.94,1.7076,1.89942,1.43246,0.75441,0.48564,0.59426,0.35231,1.50794,1.46522,1.32604,0.0004456,0.0004456,0.0004456
86,929.761,1.71556,1.83368,1.43644,0.73057,0.50266,0.62074,0.37081,1.48953,1.43027,1.32297,0.000439,0.000439,0.000439
87,940.482,1.63488,1.82664,1.41922,0.68023,0.50131,0.59397,0.35122,1.48905,1.49743,1.33178,0.0004324,0.0004324,0.0004324
88,951.081,1.7562,1.83067,1.39126,0.61307,0.52539,0.58824,0.34669,1.50128,1.51942,1.32323,0.0004258,0.0004258,0.0004258
89,961.834,1.63387,1.7564,1.398,0.76026,0.4752,0.60843,0.36352,1.47964,1.44033,1.317,0.0004192,0.0004192,0.0004192
90,972.478,1.71429,1.78017,1.40006,0.62655,0.53264,0.59459,0.34383,1.54024,1.55032,1.33646,0.0004126,0.0004126,0.0004126
91,983.183,1.70159,1.78436,1.42623,0.75874,0.52219,0.62744,0.36875,1.47539,1.40183,1.29942,0.000406,0.000406,0.000406
92,993.862,1.71852,1.8748,1.45415,0.68388,0.54791,0.63596,0.38533,1.45749,1.39745,1.30808,0.0003994,0.0003994,0.0003994
93,1004.53,1.62954,1.65785,1.36713,0.71613,0.51378,0.60776,0.35022,1.50693,1.48365,1.32098,0.0003928,0.0003928,0.0003928
94,1015.26,1.65044,1.76981,1.38967,0.78414,0.50268,0.63337,0.3756,1.48056,1.41275,1.29774,0.0003862,0.0003862,0.0003862
95,1025.85,1.69417,1.8143,1.41704,0.72683,0.58225,0.67853,0.40953,1.43952,1.29981,1.28131,0.0003796,0.0003796,0.0003796
96,1036.63,1.6987,1.78621,1.40387,0.74969,0.58225,0.69051,0.42017,1.42308,1.26434,1.27067,0.000373,0.000373,0.000373
97,1047.3,1.64463,1.73889,1.3425,0.71158,0.56043,0.64899,0.38751,1.46402,1.36712,1.28493,0.0003664,0.0003664,0.0003664
98,1057.96,1.6038,1.66441,1.33034,0.75224,0.56283,0.66797,0.40284,1.41777,1.30758,1.26674,0.0003598,0.0003598,0.0003598
99,1068.65,1.51177,1.5693,1.32575,0.74049,0.60346,0.69734,0.41845,1.39102,1.25196,1.25759,0.0003532,0.0003532,0.0003532
100,1079.37,1.58194,1.61745,1.32331,0.71875,0.62053,0.71088,0.44161,1.36313,1.22364,1.24378,0.0003466,0.0003466,0.0003466
101,1090.17,1.60206,1.67593,1.32708,0.72383,0.58167,0.68044,0.40999,1.42248,1.30644,1.25896,0.00034,0.00034,0.00034
102,1100.9,1.64144,1.67543,1.38349,0.77229,0.56673,0.67991,0.42022,1.38611,1.25068,1.24577,0.0003334,0.0003334,0.0003334
103,1111.53,1.59755,1.66031,1.34914,0.71536,0.60313,0.70034,0.43487,1.37525,1.23694,1.24725,0.0003268,0.0003268,0.0003268
104,1122.24,1.65583,1.68099,1.37363,0.75362,0.59269,0.70997,0.44277,1.35266,1.19805,1.23521,0.0003202,0.0003202,0.0003202
105,1132.88,1.61352,1.67665,1.34843,0.76479,0.63708,0.7307,0.45506,1.35111,1.18445,1.22406,0.0003136,0.0003136,0.0003136
106,1143.65,1.63627,1.62405,1.36663,0.7499,0.60313,0.70394,0.44418,1.35447,1.21546,1.22641,0.000307,0.000307,0.000307
107,1154.35,1.58149,1.57223,1.32721,0.73623,0.61097,0.70542,0.44588,1.35524,1.21243,1.23324,0.0003004,0.0003004,0.0003004
108,1165.07,1.59814,1.60162,1.32138,0.6596,0.597,0.66603,0.40451,1.39975,1.31274,1.26659,0.0002938,0.0002938,0.0002938
109,1175.82,1.58632,1.64598,1.3519,0.79276,0.58929,0.70717,0.43679,1.38923,1.24114,1.25186,0.0002872,0.0002872,0.0002872
110,1186.64,1.54132,1.47512,1.32654,0.80095,0.63708,0.75012,0.47952,1.29821,1.11866,1.20812,0.0002806,0.0002806,0.0002806
