Model,Accuracy,BalancedAcc,Sensitivity,Specificity,Precision,NPV,F1,AUC,MCC,WeightedScore
maxvit_tiny,0.8851,0.8429,0.75,0.9359,0.8148,0.9087,0.7811,0.8957,0.7045,0.821998
convnextv2,0.8106,0.82,0.8409,0.7991,0.6116,0.9303,0.7081,0.8966,0.5889,0.7952340000000001
bitresnetv2,0.795,0.82,0.875,0.765,0.5833,0.9421,0.7,0.867,0.5799,0.7918810000000001
efficientnetv2b4,0.8385,0.8038,0.7273,0.8803,0.6957,0.8957,0.7111,0.8843,0.5994,0.77711
resnet50_yolo_crops,0.7857,0.7994,0.8295,0.7692,0.5748,0.9231,0.6791,0.8681,0.546,0.771066
resnet50_cbis_crops,0.7069,,0.7654,0.6755,0.5586,,0.6458,0.7739,,
